Designator,Mid X,Mid Y,Rotation,Layer
C1,115.35,-127.4,90.0,top
C2,117.475,-127.3,90.0,top
C27,119.8,-119.55,180.0,bottom
C28,124.4,-119.5,180.0,bottom
C3,117.775,-115.55,90.0,top
C31,116.925,-127.7,90.0,bottom
C32,118.9,-127.3,90.0,bottom
C33,123.65,-128.05,270.0,bottom
C4,124.75,-118.375,270.0,top
C40,122.0,-113.975,0.0,bottom
C5,130.475,-124.025,180.0,bottom
C6,130.5,-122.05,180.0,bottom
C7,123.2,-129.8,270.0,top
D11,130.05,-122.725,0.0,top
D3,119.775,-126.1,90.0,top
D4,136.375,-129.95,270.0,top
J1,130.585,-116.14,90.0,top
J10,130.2,-126.96,0.0,top
L3,118.95,-116.375,270.0,bottom
Q1,114.325,-118.4,0.0,bottom
Q2,110.5,-118.4,0.0,bottom
R1,121.375,-122.775,0.0,top
R19,127.025,-122.325,180.0,bottom
R2,123.225,-126.4,90.0,top
R25,134.325,-131.075,180.0,bottom
R26,135.325,-119.65,0.0,top
R27,134.05,-117.75,180.0,top
R28,131.75,-119.65,0.0,top
R3,126.325,-114.575,315.0,top
R33,127.025,-124.225,180.0,bottom
R4,123.875,-114.825,315.0,top
R9,119.75,-128.75,90.0,top
U1,111.425,-122.6125,180.0,top
U2,122.609639,-116.65,270.0,bottom
U3,121.975,-118.775,270.0,top
U4,130.0,-127.8125,180.0,bottom
U5,134.5,-121.975,90.0,top
U7,121.2625,-127.905,0.0,bottom
